,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
302,0.052,0.056,0.043,0.046,0.048,0.038,0.053,0.05,0.046,0.044,0.097,0.035,0.054,0.032,0.049,0.05,0.045,0.053,0.052,0.057
303,0.053,0.054,0.054,0.048,0.036,0.042,0.03,0.047,0.053,0.059,0.089,0.048,0.043,0.046,0.062,0.054,0.037,0.047,0.052,0.046
304,0.056,0.056,0.046,0.04,0.041,0.056,0.026,0.042,0.046,0.044,0.118,0.043,0.052,0.043,0.044,0.043,0.047,0.048,0.043,0.066
305,0.057,0.043,0.048,0.049,0.05,0.053,0.039,0.039,0.043,0.035,0.118,0.049,0.05,0.037,0.05,0.048,0.041,0.05,0.044,0.057
306,0.047,0.042,0.05,0.05,0.036,0.052,0.031,0.045,0.045,0.038,0.109,0.044,0.052,0.046,0.048,0.051,0.041,0.059,0.047,0.067
307,0.056,0.047,0.037,0.054,0.049,0.048,0.055,0.048,0.048,0.034,0.096,0.033,0.054,0.043,0.047,0.052,0.052,0.048,0.052,0.047
308,0.059,0.05,0.052,0.038,0.048,0.044,0.04,0.043,0.037,0.056,0.103,0.04,0.054,0.047,0.043,0.043,0.047,0.036,0.063,0.057
309,0.047,0.047,0.045,0.055,0.04,0.045,0.034,0.044,0.033,0.047,0.092,0.035,0.054,0.053,0.058,0.055,0.053,0.052,0.051,0.06
310,0.052,0.055,0.053,0.051,0.042,0.043,0.043,0.046,0.047,0.04,0.1,0.044,0.054,0.049,0.039,0.047,0.047,0.052,0.054,0.042
311,0.054,0.04,0.046,0.044,0.044,0.035,0.048,0.056,0.037,0.047,0.133,0.044,0.045,0.048,0.049,0.034,0.04,0.058,0.049,0.049
312,0.053,0.041,0.049,0.046,0.038,0.04,0.037,0.05,0.057,0.046,0.094,0.042,0.05,0.046,0.048,0.052,0.058,0.04,0.051,0.062
313,0.047,0.052,0.046,0.036,0.039,0.051,0.045,0.049,0.036,0.035,0.109,0.042,0.041,0.054,0.046,0.043,0.045,0.063,0.064,0.057
314,0.054,0.039,0.046,0.047,0.038,0.036,0.049,0.041,0.048,0.039,0.097,0.044,0.059,0.051,0.035,0.049,0.051,0.067,0.052,0.058
315,0.06,0.047,0.046,0.038,0.044,0.054,0.038,0.047,0.04,0.049,0.109,0.041,0.044,0.056,0.041,0.055,0.039,0.05,0.057,0.045
316,0.046,0.05,0.058,0.041,0.033,0.045,0.039,0.05,0.038,0.036,0.113,0.043,0.049,0.047,0.048,0.058,0.044,0.063,0.041,0.058
317,0.047,0.053,0.057,0.044,0.045,0.044,0.046,0.044,0.056,0.044,0.105,0.041,0.046,0.041,0.037,0.055,0.036,0.056,0.049,0.054
