,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
8985,0.051,0.054,0.056,0.042,0.044,0.057,0.037,0.046,0.051,0.045,0.106,0.04,0.048,0.034,0.039,0.055,0.043,0.048,0.055,0.049
8986,0.05,0.049,0.056,0.043,0.061,0.06,0.035,0.04,0.038,0.043,0.116,0.036,0.057,0.042,0.037,0.05,0.052,0.047,0.036,0.052
8987,0.055,0.038,0.056,0.055,0.035,0.055,0.045,0.048,0.045,0.047,0.112,0.049,0.049,0.044,0.035,0.04,0.048,0.041,0.052,0.051
8988,0.039,0.048,0.057,0.048,0.044,0.047,0.038,0.046,0.045,0.04,0.115,0.048,0.044,0.054,0.058,0.03,0.053,0.054,0.044,0.048
8989,0.058,0.046,0.052,0.056,0.047,0.045,0.027,0.062,0.051,0.036,0.119,0.041,0.044,0.047,0.051,0.043,0.035,0.039,0.043,0.058
8990,0.055,0.043,0.044,0.044,0.043,0.044,0.051,0.036,0.056,0.047,0.122,0.038,0.057,0.04,0.037,0.044,0.039,0.051,0.049,0.06
8991,0.051,0.049,0.046,0.048,0.04,0.037,0.032,0.055,0.052,0.046,0.111,0.049,0.044,0.047,0.04,0.038,0.046,0.055,0.065,0.049
8992,0.051,0.042,0.039,0.062,0.034,0.047,0.045,0.04,0.047,0.041,0.103,0.044,0.056,0.051,0.039,0.04,0.041,0.053,0.067,0.058
8993,0.044,0.051,0.056,0.043,0.043,0.049,0.038,0.049,0.053,0.044,0.105,0.044,0.037,0.046,0.036,0.046,0.062,0.055,0.046,0.053
8994,0.06,0.043,0.047,0.052,0.041,0.038,0.044,0.047,0.053,0.04,0.115,0.042,0.05,0.044,0.044,0.043,0.042,0.055,0.046,0.054
8995,0.052,0.054,0.05,0.048,0.043,0.049,0.051,0.039,0.043,0.048,0.121,0.036,0.035,0.039,0.042,0.05,0.046,0.041,0.062,0.051
8996,0.078,0.047,0.061,0.055,0.038,0.051,0.034,0.037,0.037,0.03,0.111,0.042,0.045,0.039,0.04,0.042,0.049,0.059,0.044,0.061
8997,0.059,0.051,0.045,0.062,0.046,0.05,0.043,0.037,0.036,0.037,0.123,0.032,0.04,0.043,0.041,0.051,0.05,0.059,0.036,0.059
8998,0.053,0.047,0.05,0.049,0.046,0.039,0.034,0.034,0.039,0.051,0.101,0.053,0.065,0.042,0.046,0.04,0.056,0.052,0.044,0.059
8999,0.038,0.036,0.058,0.062,0.058,0.037,0.043,0.044,0.045,0.039,0.108,0.052,0.04,0.037,0.04,0.056,0.051,0.045,0.048,0.063
9000,0.043,0.038,0.052,0.056,0.053,0.047,0.044,0.039,0.044,0.044,0.111,0.04,0.042,0.051,0.048,0.046,0.047,0.048,0.052,0.055
9001,0.045,0.048,0.058,0.039,0.05,0.04,0.052,0.041,0.054,0.049,0.109,0.035,0.041,0.048,0.038,0.036,0.05,0.046,0.056,0.065
9002,0.05,0.049,0.045,0.042,0.049,0.041,0.043,0.045,0.039,0.038,0.121,0.039,0.045,0.052,0.049,0.053,0.048,0.039,0.053,0.06
9003,0.054,0.043,0.048,0.053,0.043,0.037,0.046,0.039,0.045,0.045,0.122,0.034,0.04,0.04,0.049,0.052,0.061,0.05,0.054,0.045
9004,0.049,0.04,0.049,0.048,0.041,0.052,0.042,0.043,0.045,0.044,0.105,0.038,0.041,0.046,0.059,0.051,0.042,0.057,0.059,0.049
9005,0.063,0.044,0.053,0.036,0.048,0.047,0.035,0.049,0.04,0.041,0.128,0.042,0.054,0.033,0.042,0.044,0.046,0.046,0.052,0.057
9006,0.053,0.043,0.054,0.053,0.04,0.045,0.038,0.051,0.049,0.046,0.112,0.028,0.056,0.045,0.032,0.046,0.05,0.057,0.05,0.052
9007,0.056,0.047,0.054,0.045,0.048,0.059,0.048,0.049,0.051,0.031,0.093,0.039,0.05,0.032,0.059,0.047,0.046,0.051,0.043,0.052
9008,0.049,0.047,0.064,0.041,0.04,0.049,0.039,0.05,0.039,0.042,0.098,0.029,0.052,0.052,0.059,0.048,0.055,0.042,0.045,0.06
9009,0.045,0.049,0.049,0.058,0.054,0.039,0.049,0.035,0.041,0.041,0.128,0.04,0.041,0.041,0.058,0.046,0.041,0.043,0.046,0.056
9010,0.079,0.045,0.038,0.047,0.05,0.03,0.043,0.04,0.053,0.048,0.132,0.044,0.042,0.041,0.041,0.043,0.044,0.043,0.045,0.052
9011,0.071,0.048,0.056,0.04,0.053,0.04,0.047,0.026,0.04,0.048,0.143,0.036,0.036,0.046,0.039,0.034,0.047,0.049,0.045,0.056
9012,0.048,0.052,0.054,0.045,0.041,0.045,0.036,0.04,0.061,0.046,0.128,0.034,0.038,0.05,0.042,0.036,0.053,0.054,0.052,0.045
9013,0.053,0.041,0.051,0.048,0.039,0.058,0.05,0.041,0.044,0.043,0.103,0.053,0.047,0.04,0.052,0.05,0.05,0.047,0.043,0.047
9014,0.044,0.051,0.046,0.055,0.059,0.049,0.043,0.05,0.052,0.04,0.085,0.037,0.061,0.044,0.036,0.047,0.043,0.053,0.051,0.054
9015,0.049,0.045,0.05,0.051,0.043,0.041,0.036,0.05,0.049,0.041,0.123,0.036,0.032,0.051,0.058,0.046,0.049,0.057,0.041,0.052
9016,0.037,0.054,0.056,0.07,0.047,0.056,0.034,0.041,0.043,0.04,0.099,0.046,0.051,0.045,0.042,0.05,0.041,0.046,0.06,0.042
9017,0.05,0.057,0.044,0.062,0.04,0.043,0.054,0.04,0.05,0.033,0.1,0.037,0.05,0.053,0.041,0.05,0.05,0.046,0.039,0.061
9018,0.053,0.054,0.058,0.046,0.032,0.052,0.039,0.041,0.052,0.044,0.094,0.043,0.053,0.038,0.04,0.045,0.043,0.05,0.059,0.064
9019,0.051,0.066,0.046,0.055,0.036,0.034,0.033,0.046,0.048,0.041,0.102,0.055,0.058,0.057,0.038,0.043,0.044,0.036,0.055,0.056
9020,0.051,0.052,0.062,0.055,0.032,0.045,0.041,0.033,0.047,0.047,0.13,0.033,0.051,0.042,0.05,0.043,0.037,0.037,0.056,0.056
9021,0.061,0.046,0.05,0.067,0.042,0.051,0.043,0.037,0.041,0.036,0.106,0.054,0.049,0.04,0.041,0.035,0.039,0.042,0.063,0.057
9022,0.059,0.044,0.054,0.05,0.054,0.038,0.038,0.039,0.057,0.036,0.109,0.034,0.051,0.053,0.049,0.06,0.049,0.042,0.044,0.04
9023,0.056,0.054,0.055,0.06,0.051,0.046,0.038,0.034,0.036,0.046,0.122,0.031,0.041,0.049,0.042,0.043,0.041,0.053,0.044,0.058
